filename,filesize,codec,compression_time,resolution,bitrate_kbps,PSNR,compression_ratio
output_mpeg1_176x144_200k.mp4,4255115,mpeg1,1.9221854209899905,176x144,200,43.22,0.6679121480853044
output_mpeg1_176x144_300k.mp4,4928107,mpeg1,1.907676219940185,176x144,300,45.92,0.5767007493952546
output_mpeg1_176x144_400k.mp4,5494254,mpeg1,1.9253456592559812,176x144,400,45.81,0.5172755027343111
output_mpeg1_176x144_500k.mp4,5912987,mpeg1,1.9140026569366453,176x144,500,45.81,0.4806442158590912
output_mpeg1_176x144_750k.mp4,6057963,mpeg1,1.927207946777344,176x144,750,45.81,0.46914169003673345
output_mpeg1_176x144_1000k.mp4,6057963,mpeg1,1.893073797225952,176x144,1000,45.81,0.46914169003673345
output_mpeg1_176x144_1250k.mp4,6057963,mpeg1,1.9138755798339844,176x144,1250,45.81,0.46914169003673345
output_mpeg1_176x144_1500k.mp4,6057963,mpeg1,1.9117159843444824,176x144,1500,45.81,0.46914169003673345
output_mpeg1_176x144_2000k.mp4,6057963,mpeg1,1.924238681793213,176x144,2000,45.81,0.46914169003673345
output_mpeg1_176x144_2500k.mp4,6057963,mpeg1,1.9127349853515625,176x144,2500,45.81,0.46914169003673345
output_mpeg1_176x144_3000k.mp4,6057963,mpeg1,1.893916368484497,176x144,3000,45.81,0.46914169003673345
output_mpeg1_176x144_3500k.mp4,6057963,mpeg1,1.8921520709991453,176x144,3500,45.81,0.46914169003673345
output_mpeg4_1920x1080_100k.mp4,13203769,mpeg4,6.589730978012085,1920x1080,100,38.39,1.5472061802959443
output_mpeg4_1920x1080_200k.mp4,13249107,mpeg4,6.132482528686523,1920x1080,200,38.39,1.5419116926144532
output_mpeg4_1920x1080_300k.mp4,13357526,mpeg4,6.703941106796265,1920x1080,300,38.39,1.5293964615902675
output_mpeg4_1920x1080_400k.mp4,13428344,mpeg4,6.17710542678833,1920x1080,400,38.39,1.5213307761552728
output_mpeg4_1920x1080_500k.mp4,13436965,mpeg4,6.170351505279541,1920x1080,500,38.39,1.5203547080758193
output_mpeg4_1920x1080_750k.mp4,13451408,mpeg4,6.183953046798706,1920x1080,750,38.39,1.5187222779949876
output_mpeg4_1920x1080_1000k.mp4,13457796,mpeg4,6.16530179977417,1920x1080,1000,38.39,1.5180013874485838
output_mpeg4_1920x1080_1250k.mp4,13467515,mpeg4,6.195726156234741,1920x1080,1250,38.39,1.5169059028335963
output_mpeg4_1920x1080_1500k.mp4,13470260,mpeg4,6.122383117675781,1920x1080,1500,38.39,1.516596784323391
output_mpeg4_1920x1080_2000k.mp4,17284118,mpeg4,6.202639818191528,1920x1080,2000,44.84,1.1819494058071114
output_mpeg4_1920x1080_2500k.mp4,21056343,mpeg4,6.642564058303833,1920x1080,2500,46.01,0.9702042277711757
output_mpeg4_1920x1080_3000k.mp4,24820352,mpeg4,7.851735353469849,1920x1080,3000,46.97,0.823072654247611
output_mpeg4_1920x1080_3500k.mp4,28602459,mpeg4,6.912270545959473,1920x1080,3500,47.7,0.7142376464904643
output_mpeg4_1280x720_100k.mp4,7718985,mpeg4,2.691159009933472,1280x720,100,37.32,1.4445321502762345
output_mpeg4_1280x720_200k.mp4,7800783,mpeg4,3.011248826980591,1280x720,200,37.32,1.4293849732776824
output_mpeg4_1280x720_300k.mp4,7814732,mpeg4,2.765615224838257,1280x720,300,37.32,1.4268335753548553
output_mpeg4_1280x720_400k.mp4,7819691,mpeg4,2.747486352920532,1280x720,400,37.32,1.4259287227589938
output_mpeg4_1280x720_500k.mp4,7830167,mpeg4,2.996983766555786,1280x720,500,37.32,1.424020969156852
output_mpeg4_1280x720_750k.mp4,8383020,mpeg4,2.715339422225952,1280x720,750,40.98,1.3301080040367315
output_mpeg4_1280x720_1000k.mp4,10259394,mpeg4,2.86315655708313,1280x720,1000,43.72,1.086840216878307
output_mpeg4_1280x720_1250k.mp4,12125966,mpeg4,2.858675956726074,1280x720,1250,45.64,0.919540925646666
output_mpeg4_1280x720_1500k.mp4,13998390,mpeg4,2.7918505668640137,1280x720,1500,46.71,0.7965431738935692
