filename,filesize,codec,block_size,compression_time,compression_ratio,resolution,bitrate_kbps,PSNR
output_mpeg4_1920x1080_100k.mp4,13203769,mpeg4,16k,6.547399282455444,1.5472061802959443,1920x1080,100,38.39
output_mpeg4_1920x1080_200k.mp4,13249107,mpeg4,16k,6.518132448196411,1.5419116926144532,1920x1080,200,38.39
output_mpeg4_1920x1080_300k.mp4,13357526,mpeg4,16k,7.016866683959961,1.5293964615902675,1920x1080,300,38.39
output_mpeg4_1920x1080_400k.mp4,13428344,mpeg4,16k,6.528766632080078,1.5213307761552728,1920x1080,400,38.39
output_mpeg4_1920x1080_500k.mp4,13436965,mpeg4,16k,6.519354820251465,1.5203547080758193,1920x1080,500,38.39
output_mpeg4_1920x1080_750k.mp4,13451408,mpeg4,16k,7.811910629272461,1.5187222779949876,1920x1080,750,38.39
output_mpeg4_1920x1080_1000k.mp4,13457796,mpeg4,16k,6.829463958740234,1.5180013874485838,1920x1080,1000,38.39
output_mpeg4_1920x1080_1250k.mp4,13467515,mpeg4,16k,6.470925569534302,1.5169059028335963,1920x1080,1250,38.39
output_mpeg4_1920x1080_1500k.mp4,13470260,mpeg4,16k,6.651503324508667,1.516596784323391,1920x1080,1500,38.39
output_mpeg4_1920x1080_2000k.mp4,17284118,mpeg4,16k,6.875006198883057,1.1819494058071114,1920x1080,2000,44.84
output_mpeg4_1920x1080_2500k.mp4,21056343,mpeg4,16k,6.942673921585083,0.9702042277711757,1920x1080,2500,46.01
output_mpeg4_1920x1080_3000k.mp4,24820352,mpeg4,16k,7.062094688415527,0.823072654247611,1920x1080,3000,46.97
output_mpeg4_1920x1080_3500k.mp4,28602459,mpeg4,16k,6.979769945144653,0.7142376464904643,1920x1080,3500,47.7
